Rank,Class,NSmells,LOC,Methods,Selected
102,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/ConstraintUpdateManager.java,131,500,12,
103,openjpa-kernel/src/main/java/org/apache/openjpa/conf/Compatibility.java,131,709,62,
104,openjpa-lib/src/main/java/org/apache/openjpa/lib/util/Files.java,130,303,19,
105,openjpa-persistence/src/main/java/org/apache/openjpa/persistence/meta/MetamodelImpl.java,130,419,26,
106,openjpa-slice/src/main/java/org/apache/openjpa/slice/jdbc/DistributedTemplate.java,129,298,49,
107,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/strats/PrimitiveFieldStrategy.java,129,394,13,
108,openjpa-kernel/src/main/java/org/apache/openjpa/meta/ProxySetupStateManager.java,127,293,37,
109,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/strats/LRSProxyMap.java,127,394,32,
110,openjpa-persistence/src/main/java/org/apache/openjpa/persistence/JPAFacadeHelper.java,126,317,17,
111,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/HSQLDictionary.java,123,372,15,
112,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/PCDataImpl.java,122,314,30,
113,openjpa-slice/src/main/java/org/apache/openjpa/slice/jdbc/DistributedResultSet.java,122,917,157,
114,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/strats/HandlerCollectionTableFieldStrategy.java,121,292,11,
115,openjpa-xmlstore/src/main/java/org/apache/openjpa/xmlstore/ObjectData.java,121,342,11,
116,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/ResultPacker.java,121,364,17,
117,openjpa-kernel/src/main/java/org/apache/openjpa/enhance/CodeGenerator.java,121,566,28,
118,openjpa-lib/src/main/java/org/apache/openjpa/lib/jdbc/DelegatingDatabaseMetaData.java,121,827,153,
119,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/SubQ.java,120,243,17,
120,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/Discriminator.java,120,395,41,
121,openjpa-examples/openbooks/src/main/java/openbook/util/PropertyHelper.java,119,282,23,
122,openjpa-lib/src/main/java/org/apache/openjpa/lib/util/CodeFormat.java,118,536,59,
123,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/schema/ColumnIO.java,116,276,26,
124,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/schema/TableSchemaFactory.java,115,468,31,
125,openjpa-examples/openbooks/src/main/java/jpa/tools/swing/MetamodelHelper.java,114,246,22,
126,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/Version.java,114,355,35,
127,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/ManagedCache.java,110,276,11,
128,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/FinderCacheImpl.java,110,374,31,
129,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/strats/RelationHandlerMapTableFieldStrategy.java,108,289,9,
130,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/schema/Schema.java,107,311,27,
131,openjpa-kernel/src/main/java/org/apache/openjpa/meta/FetchGroup.java,107,354,21,
132,openjpa-persistence/src/main/java/org/apache/openjpa/persistence/FetchPlanImpl.java,107,428,64,
133,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/H2Dictionary.java,107,443,23,
134,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/PreparedStatementManagerImpl.java,106,289,14,
135,openjpa-slice/src/main/java/org/apache/openjpa/slice/jdbc/DistributedConnection.java,104,343,47,
136,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/NativeJDBCSeq.java,104,430,22,
137,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/FirebirdDictionary.java,104,458,16,
138,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/MethodStoreQuery.java,103,283,15,
139,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/InformixDictionary.java,102,415,15,
140,openjpa-examples/openbooks/src/main/java/jpa/tools/swing/EntityDataModel.java,100,224,18,
141,openjpa-lib/src/main/java/org/apache/openjpa/lib/meta/CFMetaDataParser.java,100,333,23,
142,openjpa-persistence/src/main/java/org/apache/openjpa/persistence/PersistenceProviderImpl.java,100,431,25,
143,openjpa-persistence/src/main/java/org/apache/openjpa/persistence/EntityManagerFactoryImpl.java,100,442,42,
144,openjpa-kernel/src/main/java/org/apache/openjpa/util/Exceptions.java,99,263,14,
145,openjpa-persistence/src/main/java/org/apache/openjpa/persistence/PersistenceExceptions.java,98,316,18,
146,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/strats/StringFieldStrategy.java,97,249,13,
147,openjpa-kernel/src/main/java/org/apache/openjpa/util/ImplHelper.java,97,304,13,
148,openjpa-kernel/src/main/java/org/apache/openjpa/util/CacheMap.java,97,604,55,
149,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/SimpleCaseExpression.java,96,222,20,
150,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/SybaseDictionary.java,96,440,15,
151,openjpa-examples/openbooks/src/main/java/jpa/tools/swing/PathFinder.java,95,167,14,
152,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/schema/DataSourceFactory.java,95,296,8,
153,openjpa-persistence-jdbc/src/main/java/org/apache/openjpa/persistence/jdbc/PersistenceMappingDefaults.java,94,232,10,
154,openjpa-persistence/src/main/java/org/apache/openjpa/persistence/criteria/SubqueryImpl.java,94,353,43,
155,openjpa-kernel/src/main/java/org/apache/openjpa/datacache/ClearableScheduler.java,93,243,16,
156,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/strats/HandlerHandlerMapTableFieldStrategy.java,92,246,6,
157,openjpa-kernel/src/main/java/org/apache/openjpa/enhance/ManagedClassSubclasser.java,92,302,8,
158,openjpa-persistence/src/main/java/org/apache/openjpa/persistence/StoredProcedureQueryImpl.java,92,371,48,
159,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/DetachedValueStateManager.java,92,597,106,
160,openjpa-lib/src/main/java/org/apache/openjpa/lib/graph/DepthFirstAnalysis.java,91,315,15,
161,openjpa-lib/src/main/java/org/apache/openjpa/lib/util/StringUtil.java,91,408,19,
162,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/Extension.java,90,213,14,
163,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/strats/ObjectIdValueHandler.java,89,165,8,
164,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/BatchingPreparedStatementManagerImpl.java,89,339,13,
165,openjpa-persistence/src/main/java/org/apache/openjpa/persistence/criteria/PathImpl.java,88,297,24,
166,openjpa-kernel/src/main/java/org/apache/openjpa/enhance/InstrumentationFactory.java,88,358,20,
167,openjpa-kernel/src/main/java/org/apache/openjpa/meta/MetaDataTool.java,87,322,16,
168,openjpa-persistence/src/main/java/org/apache/openjpa/persistence/criteria/FromImpl.java,86,288,37,
169,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/CollectionParam.java,85,188,13,
170,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/PessimisticLockManager.java,85,220,8,
171,openjpa-kernel/src/main/java/org/apache/openjpa/meta/AccessCode.java,85,235,22,
172,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/AuditManager.java,85,336,43,
173,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/InExpression.java,84,213,6,
174,openjpa-lib/src/main/java/org/apache/openjpa/lib/jdbc/DelegatingStatement.java,84,295,54,
175,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/PCState.java,84,432,28,
176,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/DelegatingJDBCFetchConfiguration.java,83,306,60,
177,openjpa-persistence/src/main/java/org/apache/openjpa/persistence/AnnotationBuilder.java,82,174,23,
178,openjpa-slice/src/main/java/org/apache/openjpa/slice/jdbc/UniqueResultObjectProvider.java,82,193,16,
179,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/GeneralCaseExpression.java,82,196,19,
180,openjpa-lib/src/main/java/org/apache/openjpa/lib/log/MultiLogFactory.java,81,188,24,
181,openjpa-kernel/src/main/java/org/apache/openjpa/datacache/DelegatingQueryCache.java,79,221,34,
182,openjpa-lib/src/main/java/org/apache/openjpa/lib/util/Localizer.java,79,281,21,
183,openjpa-examples/openbooks/src/main/java/openbook/tools/CommandProcessor.java,79,326,22,
184,openjpa-jest/src/main/java/org/apache/openjpa/json/JSONObject.java,78,220,18,
185,openjpa-jest/src/main/java/org/apache/openjpa/persistence/jest/JSONObject.java,78,220,18,
186,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/GetMapValue.java,77,197,10,
187,openjpa-examples/openbooks/src/main/java/jpa/tools/swing/ErrorDialog.java,76,216,14,
188,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/RowManagerImpl.java,76,265,16,
189,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/strats/StateComparisonVersionStrategy.java,76,300,21,
190,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/strats/RelationMapInverseKeyFieldStrategy.java,75,198,17,
191,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/strats/RelationMapTableFieldStrategy.java,74,198,17,
192,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/ClassTableJDBCSeq.java,74,252,17,
193,openjpa-xmlstore/src/main/java/org/apache/openjpa/xmlstore/XMLStoreManager.java,74,258,10,
194,openjpa-lib/src/main/java/org/apache/openjpa/lib/util/TypedProperties.java,74,301,30,
195,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/CoalesceExpression.java,72,176,18,
196,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/schema/DynamicSchemaFactory.java,71,211,25,
197,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/strats/RelationStrategies.java,71,230,6,
198,openjpa-lib/src/main/java/org/apache/openjpa/lib/xml/DocTypeReader.java,71,246,16,
199,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/StoredProcedureQuery.java,70,191,17,
200,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/schema/SimpleDriverDataSource.java,70,217,30,
201,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/ResultShape.java,70,360,27,
202,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/DelegatingBrokerFactory.java,69,232,39,
203,openjpa-jest/src/main/java/org/apache/openjpa/persistence/jest/JSONObjectFormatter.java,69,273,12,
204,openjpa-lib/src/main/java/org/apache/openjpa/lib/log/LogFactoryImpl.java,69,322,28,
205,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/Trim.java,68,200,15,
206,openjpa-examples/openbooks/src/main/java/jpa/tools/swing/PowerPointViewer.java,68,211,20,
207,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/strats/LobFieldStrategy.java,68,215,7,
208,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/ConstPath.java,68,222,19,
209,openjpa-persistence/src/main/java/org/apache/openjpa/persistence/AnnotationPersistenceXMLMetaDataParser.java,68,249,15,
210,openjpa-persistence/src/main/java/org/apache/openjpa/persistence/OpenJPAPersistence.java,68,309,20,
211,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/SecondaryRow.java,67,177,9,
212,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/Args.java,67,209,19,
213,openjpa-kernel/src/main/java/org/apache/openjpa/conf/CacheMarshallerImpl.java,67,230,18,
214,openjpa-kernel/src/main/java/org/apache/openjpa/event/JMSRemoteCommitProvider.java,67,260,18,
215,openjpa-jest/src/main/java/org/apache/openjpa/persistence/jest/JESTContext.java,67,299,17,
216,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/identifier/QualifiedDBIdentifier.java,67,323,26,
217,openjpa-kernel/src/main/java/org/apache/openjpa/meta/LifecycleMetaData.java,66,244,11,
218,openjpa-lib/src/main/java/org/apache/openjpa/lib/rop/RandomAccessResultList.java,65,211,21,
219,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/PropertiesReverseCustomizer.java,65,219,14,
220,openjpa-lib/src/main/java/org/apache/openjpa/lib/jdbc/SQLFormatter.java,65,228,16,
221,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/ant/ReverseMappingToolTask.java,64,286,30,
